City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,288.05,88,100,2.24,NZ,1704219640
1,lebork,54.5392,17.7501,276.19,96,100,4.66,PL,1704219640
2,kodinsk,58.6881,99.1844,262.28,96,100,1.95,RU,1704219640
3,ushuaia,-54.8,-68.3,287.96,38,40,7.72,AR,1704219424
4,port-aux-francais,-49.35,70.2167,278.22,85,94,17.8,TF,1704219641
5,tailai,46.3833,123.4,258.66,90,23,1.83,CN,1704219641
6,thompson,55.7435,-97.8558,261.24,79,100,5.66,CA,1704219641
7,afaahiti,-17.75,-149.2833,298.08,79,100,4.0,PF,1704219641
8,higuera de zaragoza,25.95,-109.2833,295.11,60,60,4.82,MX,1704219641
9,whitehorse,60.7161,-135.0538,258.58,85,100,1.03,CA,1704219642
10,puerto ayora,-0.7393,-90.3518,299.01,91,29,3.58,EC,1704219642
11,viedma,-40.8135,-62.9967,304.89,31,30,2.37,AR,1704219642
12,kuta,-8.7233,115.1723,301.12,94,100,1.03,ID,1704219642
13,macapa,0.0389,-51.0664,304.14,79,40,3.09,BR,1704219643
14,grytviken,-54.2811,-36.5092,275.29,61,89,2.24,GS,1704219643
15,vernon,50.2581,-119.2691,276.65,89,88,2.06,CA,1704219643
16,papatowai,-46.5619,169.4708,284.8,82,95,1.73,NZ,1704219648
17,remire-montjoly,4.9167,-52.2667,304.17,62,40,6.17,GF,1704219649
18,puerto natales,-51.7236,-72.4875,290.4,36,40,14.4,CL,1704219649
19,novodvinsk,64.4165,40.8122,242.47,100,12,0.68,RU,1704219650
20,adamstown,-25.066,-130.1015,297.08,81,100,2.49,PN,1704219650
21,fort st. john,56.2499,-120.8529,262.09,92,100,2.57,CA,1704219650
22,edinburgh of the seven seas,-37.0676,-12.3116,290.56,74,100,2.81,SH,1704219651
23,qaqortoq,60.7167,-46.0333,267.51,79,100,2.42,GL,1704219651
24,praia da vitoria,38.7333,-27.0667,290.79,67,20,3.89,PT,1704219651
25,udachny,66.4167,112.4,232.84,80,99,1.34,RU,1704219652
26,blackmans bay,-43.0167,147.3167,289.0,90,100,0.9,AU,1704219652
27,ust-nera,64.5667,143.2,233.14,98,94,2.11,RU,1704219652
28,bilibino,68.0546,166.4372,245.55,99,99,0.19,RU,1704219652
29,savanna-la-mar,18.219,-78.1332,299.78,72,53,5.07,JM,1704219652
30,vila franca do campo,37.7167,-25.4333,291.42,99,100,2.83,PT,1704219653
31,coahuayana de hidalgo,18.7,-103.6583,302.09,44,100,1.37,MX,1704219654
32,hithadhoo,-0.6,73.0833,301.15,74,55,1.69,MV,1704219654
33,isangel,-19.55,169.2667,299.03,83,69,5.71,VU,1704219654
34,albany,42.6001,-73.9662,276.45,64,37,0.89,US,1704219411
35,laguna,38.421,-121.4238,284.91,93,100,4.12,US,1704219654
36,farap,39.1704,63.6116,274.15,93,69,2.06,TM,1704219655
37,montepuez,-13.1256,38.9997,295.13,94,100,1.23,MZ,1704219655
38,bethel,41.3712,-73.414,278.47,59,0,4.12,US,1704219656
39,lae,-6.7221,146.9847,297.72,91,100,2.98,PG,1704219656
40,greenville,35.6127,-77.3663,282.24,53,0,5.66,US,1704219538
41,margaret river,-33.95,115.0667,287.99,89,52,5.49,AU,1704219476
42,babor - ville,36.4899,5.5393,282.71,68,57,1.61,DZ,1704219656
43,cockburn town,21.4612,-71.1419,299.03,71,5,2.88,TC,1704219656
44,anadyr,64.75,177.4833,261.43,84,20,4.0,RU,1704219657
45,port elizabeth,-33.918,25.5701,294.87,89,20,6.69,ZA,1704219657
46,takaungu,-3.6837,39.8566,301.42,84,3,3.7,KE,1704219657
47,guarapari,-20.6667,-40.4975,299.2,93,100,0.75,BR,1704219657
48,engen,47.85,8.7667,282.1,84,100,7.79,DE,1704219657
49,inarajan village,13.2736,144.7484,301.23,91,95,5.95,GU,1704219657
50,chonchi,-42.6128,-73.8092,296.55,48,24,0.76,CL,1704219657
51,cabo san lucas,22.8909,-109.9124,297.93,56,40,4.12,MX,1704219479
52,port saint john's,-31.6229,29.5448,294.72,83,69,5.96,ZA,1704219658
53,tiksi,71.6872,128.8694,241.25,97,100,0.56,RU,1704219658
54,yellowknife,62.456,-114.3525,251.16,87,75,1.54,CA,1704219658
55,dhemaji,27.4833,94.5833,287.23,60,0,2.08,IN,1704219658
56,luganville,-15.5333,167.1667,299.91,88,71,3.03,VU,1704219658
57,tambo,-14.8,-73.9167,282.6,65,44,4.29,PE,1704219659
58,avarua,-21.2078,-159.775,299.18,78,40,5.14,CK,1704219659
59,novyy turtkul',41.55,61.0167,272.1,71,48,4.14,UZ,1704219659
60,murghob,38.1702,73.9667,261.58,34,95,1.45,TJ,1704219659
61,vilyuchinsk,52.9306,158.4028,258.11,79,71,4.39,RU,1704219659
62,sao francisco,-15.9486,-44.8644,298.72,88,98,2.56,BR,1704219659
63,santyoku,37.4406,129.1708,276.76,74,100,2.27,KR,1704219659
64,st. john's,47.5649,-52.7093,269.64,80,75,5.66,CA,1704219418
65,georgetown,5.4112,100.3354,301.11,89,40,1.03,MY,1704218886
66,malango,-2.9627,119.9001,293.42,95,96,1.17,ID,1704219660
67,ciudad lazaro cardenas,17.9583,-102.2,301.45,41,92,1.74,MX,1704219660
68,baoding,38.8511,115.4903,271.04,63,3,4.07,CN,1704219660
69,san antonio de pale,-1.4014,5.6325,300.57,83,97,6.81,GQ,1704219660
70,launceston,-41.45,147.1667,290.26,94,98,4.63,AU,1704219660
71,buala,-8.145,159.5921,300.25,84,72,0.91,SB,1704219660
72,kyren,51.6828,102.1408,262.01,81,100,1.34,RU,1704219660
73,san carlos,9.6612,-68.5827,308.29,35,90,1.79,VE,1704219524
74,motueka,-41.1333,173.0167,287.09,77,82,1.82,NZ,1704219661
75,kaiama,9.6225,3.9481,304.05,15,62,2.12,NG,1704219661
76,kaseda-shirakame,31.4167,130.3167,285.19,75,47,2.27,JP,1704219661
77,chernyshevskiy,63.0128,112.4714,235.77,100,100,0.85,RU,1704219661
78,west island,-12.1568,96.8225,300.14,89,100,5.14,CC,1704219661
79,salinopolis,-0.6136,-47.3561,300.08,84,96,3.95,BR,1704219661
80,port macquarie,-31.4333,152.9167,291.42,87,23,1.53,AU,1704219662
81,kilinochchi,9.3961,80.3982,297.99,84,100,3.75,LK,1704219545
82,gaspe,48.8334,-64.4819,270.1,60,89,1.79,CA,1704219364
83,alaghsas,17.0187,8.0168,298.09,10,0,3.09,NE,1704219662
84,invercargill,-46.4,168.35,284.83,91,98,1.79,NZ,1704219662
85,constantia,44.1833,28.65,275.76,82,46,3.23,RO,1704219554
86,enewetak,11.3474,162.3373,300.26,80,93,9.86,MH,1704219662
87,pizarro,4.9533,-77.366,301.96,74,85,2.45,CO,1704219663
88,katsuura,35.1333,140.3,281.34,78,22,2.96,JP,1704219667
89,quellon,-43.1167,-73.6167,290.98,71,51,4.2,CL,1704219667
90,isafjordur,66.0755,-23.124,273.83,96,89,1.32,IS,1704219667
91,opuwo,-18.0607,13.84,299.87,22,31,8.23,NA,1704219667
92,mejit,10.2753,170.8646,300.37,76,71,8.66,MH,1704219668
93,mossendjo,-2.9506,12.7261,295.36,97,98,0.85,CG,1704219668
94,xilin hot,43.9667,116.0333,254.54,94,8,3.13,CN,1704219668
95,lihue,21.9789,-159.3672,296.92,78,40,6.17,US,1704219668
96,gaya,24.7833,85.0,285.1,87,0,1.54,IN,1704219668
97,sai buri,6.7013,101.6168,297.99,87,18,3.02,TH,1704219668
98,dunedin,-45.8742,170.5036,285.82,91,93,1.79,NZ,1704219669
99,middelburg,-25.7751,29.4648,293.56,60,84,2.72,ZA,1704219669
100,gannan,47.9147,123.5031,252.94,98,66,1.84,CN,1704219669
101,ilulissat,69.2167,-51.1,265.16,38,75,2.06,GL,1704219669
102,port douglas,-16.4833,145.4667,299.99,83,20,1.24,AU,1704219669
103,chak five hundred seventy-five,31.55,73.8333,284.57,40,64,1.19,PK,1704219670
104,natal,-5.795,-35.2094,302.51,70,75,4.12,BR,1704219670
105,namtsy,62.7161,129.6658,233.87,100,100,0.56,RU,1704219670
106,ghat,24.9647,10.1728,291.71,17,2,4.94,LY,1704219670
107,saacow,1.6279,42.4407,302.77,37,82,5.12,SO,1704219671
108,nemuro,43.3236,145.575,274.63,82,96,8.56,JP,1704219671
